,count,mean,std,min,25%,50%,75%,max
"chem_other,253,""0,02"",""0,14"",0,0,0,0,1"
"bio_other,253,""0,01"",""0,11"",0,0,0,0,1"
"geo_other,253,""0,01"",""0,11"",0,0,0,0,1"
"for_other,253,""0,18"",""0,38"",0,0,0,0,1"
"it_other,253,""0,03"",""0,16"",0,0,0,0,1"
"soc_other,253,""0,10"",""0,30"",0,0,0,0,1"
"his_other,253,""0,02"",""0,14"",0,0,0,0,1"
"no_other,253,""0,54"",""0,50"",0,0,1,1,1"
"vol_other,253,""0,17"",""0,38"",0,0,0,0,1"
"sport_other,253,""0,43"",""0,50"",0,0,0,1,1"
"events_other,253,""0,64"",""0,48"",0,0,1,1,1"
